,s600036,s600519,s600900,s601088,s601288,s601398,s601628,s601857,s601988,s300750
s600036,0.00032600224748583455,0.00016704750209028404,5.755691143719957e-05,0.00010904680921032014,7.84582685446281e-05,8.493562353466323e-05,0.0002381021345086387,0.0001369579326504835,8.688968747418259e-05,0.00014884925851778668
s600519,0.00016704750209028404,0.0002782480517931358,3.7254787476530815e-05,4.831332209193121e-05,1.716861393366201e-05,2.5667712599494634e-05,0.00015992678203732876,4.356716956154268e-05,2.408850987477154e-05,0.0002039430642096457
s600900,5.755691143719957e-05,3.7254787476530815e-05,0.00013401848659494252,9.641730845751305e-05,5.4452325647021955e-05,5.4511947179393946e-05,5.7805562238077336e-05,8.866779611640545e-05,5.476788365433646e-05,-2.155376301859984e-06
s601088,0.00010904680921032014,4.831332209193121e-05,9.641730845751305e-05,0.00034443166544364005,8.00646044303562e-05,8.006307226475156e-05,7.969910011999241e-05,0.0002203342023236439,8.997471372891041e-05,-1.1740754027525391e-05
s601288,7.84582685446281e-05,1.716861393366201e-05,5.4452325647021955e-05,8.00646044303562e-05,0.00012451512190592764,0.00010163186830209174,7.312774399007124e-05,9.8811611812562e-05,0.0001123017340352579,-2.7902929275742383e-05
s601398,8.493562353466323e-05,2.5667712599494634e-05,5.4511947179393946e-05,8.006307226475156e-05,0.00010163186830209174,0.00010999845059111234,7.540661287400777e-05,9.096162739809253e-05,0.00010463157670379784,-1.7577173309303694e-05
s601628,0.0002381021345086387,0.00015992678203732876,5.7805562238077336e-05,7.969910011999241e-05,7.312774399007124e-05,7.540661287400777e-05,0.00046111172621443516,0.00013078594694380927,7.764277209189701e-05,0.00019742103134520752
s601857,0.0001369579326504835,4.356716956154268e-05,8.866779611640545e-05,0.0002203342023236439,9.8811611812562e-05,9.096162739809253e-05,0.00013078594694380927,0.0004041502846344978,0.00010226188981744462,8.6825011198708e-06
s601988,8.688968747418259e-05,2.408850987477154e-05,5.476788365433646e-05,8.997471372891041e-05,0.0001123017340352579,0.00010463157670379784,7.764277209189701e-05,0.00010226188981744462,0.00013676269144177066,-1.6389751812417604e-05
s300750,0.00014884925851778668,0.0002039430642096457,-2.155376301859984e-06,-1.1740754027525391e-05,-2.7902929275742383e-05,-1.7577173309303694e-05,0.00019742103134520752,8.6825011198708e-06,-1.6389751812417604e-05,0.0007338867016652361
