ym,Mkt_RF,SMB,HML,RMW,CMA,MOM,RF
200001,0.146727,-0.003937,-0.091037,0.035838,-0.062093,0.2141,0.001650
200002,0.115111,0.034798,-0.013924,-0.008334,0.019518,0.0449,0.001650
200003,0.056852,0.067639,0.021500,-0.061690,0.069747,-0.0645,0.001650
200004,0.013836,-0.012123,0.028698,-0.016723,0.008137,-0.0166,0.001650
200005,0.024089,0.026579,0.023714,-0.015529,-0.002326,0.0241,0.001650
200006,0.021791,-0.020703,0.027978,0.012995,0.007352,-0.0254,0.001650
200007,0.044140,0.019612,0.030822,-0.008421,0.050355,0.0059,0.001650
200008,-0.008792,0.042639,-0.022336,-0.035159,0.014913,0.0073,0.001650
200009,-0.047526,0.029404,-0.035105,-0.006796,0.015459,0.0190,0.001650
200010,0.023025,0.033612,0.015506,-0.001133,0.008247,-0.0052,0.001650
200011,0.052297,0.013158,0.022524,0.008305,-0.001363,-0.0078,0.001650
200012,-0.004273,0.022750,0.009661,0.025823,-0.012323,-0.0165,0.001650
200101,-0.010002,-0.009516,0.028318,0.002164,0.006524,-0.0013,0.001650
200102,-0.059877,-0.011377,0.026054,0.023388,-0.011009,0.0108,0.001650
200103,0.073146,0.026971,0.005214,-0.010684,0.001962,-0.0113,0.001650
200104,-0.006993,0.030985,-0.023871,-0.021029,0.011016,0.0029,0.001650
200105,0.033874,0.066944,-0.000836,-0.017800,0.008292,0.0270,0.001650
200106,0.004809,0.001504,0.012625,0.002570,0.014828,-0.0113,0.001650
200107,-0.134635,-0.005247,-0.009688,0.001491,0.002778,0.0315,0.001650
200108,-0.034906,0.013751,-0.009102,-0.001512,0.011666,0.0153,0.001650
200109,-0.052703,-0.025121,0.021847,0.009211,-0.011019,-0.0336,0.001650
200110,-0.048075,-0.024747,0.022680,-0.015538,0.015826,-0.0149,0.001650
200111,0.034903,0.024800,0.011636,-0.011214,0.008355,-0.0356,0.001650
200112,-0.063791,-0.010554,0.021147,0.048078,-0.036877,-0.0001,0.001650
200201,-0.105090,-0.032043,0.019799,0.041543,-0.022931,0.0169,0.001650
200202,0.026290,0.008501,-0.026269,-0.020719,0.017070,-0.0353,0.001586
200203,0.060025,0.029896,-0.008474,-0.014727,0.003337,-0.0164,0.001425
200204,0.041014,0.019401,0.020141,-0.029415,0.027573,-0.0128,0.001425
200205,-0.086833,-0.001206,-0.012925,-0.011257,0.010363,-0.0018,0.001425
200206,0.141803,-0.054137,0.031568,0.007414,0.009844,-0.0081,0.001425
200207,-0.043863,0.010710,-0.015889,0.000526,-0.012474,-0.0010,0.001425
200208,0.006323,0.006800,0.004605,0.014489,-0.005836,-0.0014,0.001656
200209,-0.056189,-0.003184,0.004239,0.020748,-0.014974,0.0128,0.001852
200210,-0.050744,-0.013799,-0.005245,-0.002389,0.006848,0.0013,0.001892
200211,-0.061171,-0.029778,0.013766,0.023982,-0.019073,0.0078,0.001892
200212,-0.054623,0.007831,-0.015853,0.014052,-0.003597,0.0111,0.001892
200301,0.096243,0.006500,0.003427,-0.022717,0.021850,-0.0217,0.001892
200302,0.007714,0.010436,0.000209,-0.001983,0.003149,0.0029,0.001892
200303,-0.010225,-0.020201,0.020355,0.022327,-0.012219,0.0277,0.001892
200304,-0.005931,-0.047646,0.051901,0.061275,-0.031608,0.0706,0.001886
200305,0.041282,-0.014725,0.010202,-0.012237,0.001514,0.0222,0.001823
200306,-0.062762,-0.003447,0.007431,0.006426,-0.000653,0.0066,0.001891
200307,-0.011934,-0.037675,0.009863,0.018650,-0.011676,0.0440,0.001945
200308,-0.033993,0.010913,-0.027073,-0.007414,0.000161,-0.0278,0.001964
200309,-0.043080,-0.011567,0.001189,0.000002,0.001241,0.0493,0.002225
200310,-0.028688,-0.060921,0.055717,0.061673,-0.028267,0.0445,0.002246
200311,0.022011,-0.012236,0.044995,0.009854,-0.007216,-0.0162,0.002251
200312,0.046471,-0.075609,0.073677,0.065863,-0.035527,0.0853,0.002046
200401,0.064783,0.025898,-0.006845,-0.011138,-0.005519,-0.0552,0.002046
200402,0.065837,0.035783,-0.024912,-0.029407,0.022605,-0.0283,0.001888
200403,0.037083,0.012433,0.025312,0.008118,-0.011799,-0.0019,0.001682
200404,-0.095739,0.005216,0.044396,0.027115,-0.000289,0.0256,0.001776
200405,-0.024927,0.017660,0.010984,-0.006225,-0.009569,0.0122,0.002020
200406,-0.105384,-0.016800,0.026028,0.039512,-0.012766,0.0011,0.002354
200407,-0.006381,-0.044786,-0.009762,0.024457,-0.009452,0.0355,0.002402
200408,-0.041598,-0.007931,0.033962,0.016209,-0.003723,0.0101,0.002377
200409,0.050244,-0.010041,-0.013765,0.023502,-0.030275,0.0255,0.002008
200410,-0.056908,-0.030501,0.008420,0.033805,-0.023551,0.0409,0.002090
200411,0.016656,0.045247,-0.006580,-0.042514,0.005721,-0.0521,0.002086
200412,-0.065872,-0.020403,0.009551,0.028931,-0.024408,0.0342,0.002035
200501,-0.064116,0.000155,-0.004076,0.007324,-0.008636,0.0082,0.002085
200502,0.096797,0.003963,-0.003690,0.004178,-0.003835,-0.0249,0.001960
200503,-0.102522,-0.021365,0.014179,0.037717,-0.022821,0.0584,0.001454
200504,-0.028775,-0.063232,0.016615,0.036151,-0.010890,0.0539,0.000954
200505,-0.081724,0.037082,-0.004529,-0.048030,0.012934,-0.0878,0.000967
200506,0.002423,-0.006266,0.039398,0.024615,-0.018026,0.0446,0.000940
200507,-0.013906,-0.075177,0.027395,0.055301,-0.034030,0.0594,0.000952
200508,0.088411,0.093810,-0.010394,-0.059103,0.042848,-0.1113,0.000895
200509,-0.001153,0.035616,-0.019460,0.012751,-0.014970,-0.0034,0.000930
200510,-0.062156,-0.000680,-0.005577,0.016754,-0.012464,0.0220,0.000969
200511,-0.000524,0.021339,0.016907,-0.011131,0.009615,-0.0028,0.001173
200512,0.058244,-0.051575,0.011417,0.034881,-0.020261,-0.0001,0.001507
200601,0.085381,-0.014435,-0.000797,-0.003052,-0.025316,0.0317,0.001507
200602,0.036884,-0.008137,0.004138,-0.009044,0.011485,-0.0211,0.001466
200603,0.015852,-0.007371,-0.005939,0.027267,-0.015357,0.0307,0.001453
200604,0.118893,-0.045984,0.022990,0.034843,-0.029431,0.1168,0.001548
200605,0.175378,0.098076,-0.008750,-0.097115,0.044064,0.0043,0.001672
200606,0.037731,0.038968,-0.010179,-0.018389,0.031748,-0.0181,0.001811
200607,-0.056586,0.055865,-0.007246,-0.012986,0.021777,-0.0150,0.001981
200608,0.026520,-0.004916,-0.016249,-0.003826,-0.006858,-0.0081,0.002051
200609,0.044260,0.021138,-0.019622,-0.014613,0.011388,-0.0005,0.002067
200610,0.025364,-0.031365,0.033398,0.041216,-0.032629,-0.0093,0.002167
200611,0.131029,-0.113331,0.006078,0.063872,-0.045399,0.0858,0.002289
200612,0.223724,-0.084122,-0.001585,0.049299,-0.016095,0.1066,0.002340
200701,0.092460,0.055971,-0.003108,-0.042076,0.052965,0.0056,0.002340
200702,0.064481,0.090552,0.039176,-0.108514,0.071632,-0.0714,0.002374
200703,0.111070,0.101471,0.003142,-0.067060,0.050165,-0.0437,0.002364
200704,0.224418,0.042872,0.054011,-0.084860,0.064987,0.0874,0.002427
200705,0.077354,-0.018270,-0.014894,0.028798,-0.003538,0.0018,0.002487
